block1,block2,block3,block4,block5,block6,block7,block8,block9,block10,block11,block12,block13,block14,block15,block16,target
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,1.0,0.0,Block
0.5,0.5555782318115234,0.5223289132118225,0.4045926630496979,0.5,0.5,0.5,0.5555782318115234,0.5223289132118225,0.45930778980255127,0.5775222778320312,0.4262934625148773,0.40459266,0.5,0.5555782318115234,0.5223289132118225,Conv
0.8809473639747001,0.1800984720063743,0.569738040714388,0.953961003167498,0.938634671313491,0.3166598584872773,0.3064398196808321,0.2788444511706727,0.6946145936089759,0.5636977791717727,0.9680158376498164,0.7588222191076593,0.07001428235464113,0.12419544793296033,0.9394299178831265,0.6744761080429316,bch
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,polar
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1.0,1.0,0.0,Block
0.5,0.4936646819114685,0.5370981097221375,0.5983344912528992,0.4936646819114685,0.5307917594909668,0.6334847807884216,0.5983344912528992,0.5,0.4936646819114685,0.5307917594909668,0.6334847807884216,0.592229,0.5307917594909668,0.6275810599327087,0.6275810599327087,Conv
0.5080417298200973,0.7071329871132124,0.7916599466492107,0.40723308191039653,0.7899538236307228,0.871351823671798,0.8236973414315714,0.08933514641426787,0.4658165014191844,0.9127634534310195,0.7807310258207548,0.5477657725949897,0.7997652437937908,0.6249587150009244,0.8771517560230355,0.9022559584401568,bch
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,polar
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,Block
0.5,0.5167495608329773,0.486229807138443,0.46842870116233826,0.5167495608329773,0.486229807138443,0.46842870116233826,0.5167495608329773,0.486229807138443,0.46842870116233826,0.5167495608329773,0.486229807138443,0.4684287,0.5,0.5,0.5,Conv
0.4102675751592817,0.7659593051834639,0.42187247709380216,0.9122969915061482,0.49914138898789473,0.911541425337386,0.4648875293877074,0.9067399121785329,0.8863930104245676,0.4977576567097579,0.24468100042429852,0.27285609575618874,0.2287634607196528,0.8524229969654412,0.579593400864689,0.742053556839634,bch
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,polar
1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,Block
0.5,0.36388495564460754,0.5802236199378967,0.37418726086616516,0.36388495564460754,0.5802236199378967,0.37418726086616516,0.36388495564460754,0.5802236199378967,0.37418726086616516,0.36388495564460754,0.5802236199378967,0.37418726,0.5,0.5,0.5,Conv
